date,OT
2015/3/22,-27.75881448436699
2015/4/3,-31.01497716910046
2015/4/15,-34.86117807753072
2015/4/27,-39.34284268082538
2015/5/9,-44.06517760722816
2015/5/21,-49.15938294889182
2015/6/2,-52.94654781711531
2015/6/14,-55.21994424331136
2015/6/26,-56.86694222036653
2015/7/8,-57.39568171077305
2015/7/20,-57.68725282706268
2015/8/1,-57.7914301843631
2015/8/13,-56.8215620746802
2015/8/25,-54.93949983650696
2015/9/6,-53.5123103056297
2015/9/18,-52.526391937090935
2015/9/30,-51.41212147476715
2015/10/12,-50.49433862927425
2015/10/24,-48.71383294255271
2015/11/5,-45.98630599881941
2015/11/17,-43.09467833626154
2015/11/29,-39.78904370596475
2015/12/23,-37.78019206841015
2016/1/4,-37.317603608766575
2016/1/16,-37.41089673809688
2016/1/28,-38.56920044672106
2016/2/9,-39.98003386668006
2016/2/21,-41.58358108784847
2016/3/4,-44.24764041221904
2016/3/16,-47.82274843058696
2016/3/28,-50.76849913253062
2016/4/9,-53.08196252899378
2016/4/21,-55.42338141828292
2016/5/3,-57.41972261122369
2016/5/15,-60.22070922600012
2016/5/27,-63.917149615907256
2016/6/8,-67.6385043739179
2016/7/14,-71.65256704748955
2016/7/26,-76.19570285988318
2016/8/7,-81.20475865431771
2016/8/19,-86.76932133330439
2016/8/31,-92.9412685063621
2016/9/12,-99.39366944531116
2016/9/24,-106.14470536320428
2016/9/30,-113.40710911334406
2016/10/6,-121.1237522826692
2016/10/18,-129.47018725614984
2016/10/30,-138.49245967273382
2016/11/11,-148.0766473780445
2016/11/23,-158.28394140542636
2016/12/5,-169.09082440047447
2016/12/17,-180.4999110687224
2016/12/29,-192.5845688825143
2017/1/10,-205.35005355619427
2017/2/3,-217.41466326993773
2017/2/15,-228.6598920360728
2017/2/27,-239.7483311335914
2017/3/11,-250.29294328832617
2017/3/17,-261.1206130055977
2017/3/23,-272.2762741837257
2017/3/29,-283.0030491174458
2017/4/4,-293.4629905779977
2017/4/10,-304.63411798458606
2017/4/16,-316.49910893579107
2017/4/22,-328.6877272069628
2017/4/28,-341.434003452834
2017/5/4,-353.95514295342014
2017/5/10,-366.1993116229302
2017/5/16,-378.74399715493024
2017/5/22,-391.41008573925535
2017/5/28,-404.39805662798767
2017/6/3,-417.7861278253834
2017/6/9,-431.3477754333106
2017/6/15,-445.15233569609313
2017/6/21,-459.21697677491807
2017/6/27,-473.5230153100437
2017/7/3,-488.1242911928731
2017/7/9,-503.0236996925365
2017/7/15,-517.8669036234813
2017/7/21,-532.6333371294683
2017/7/27,-547.4959869917241
2017/8/2,-562.3615877872788
2017/8/8,-577.4458345527745
2017/8/14,-592.765354241511
2017/8/20,-608.1334400216517
2017/8/26,-623.5966198040638
2017/9/1,-639.2190882810471
2017/9/7,-654.9823391262238
2017/9/13,-670.8863087363903
2017/9/19,-686.9405978102491
2017/9/25,-703.0601856945646
2017/10/1,-719.2409275337511
2017/10/7,-735.5300411789337
2017/10/13,-751.9065962083553
2017/10/19,-768.3945123781866
2017/10/25,-784.9973795352411
2017/10/31,-801.6860089678701
2017/11/6,-818.4651959684951
2017/11/12,-835.3290177313036
2017/11/18,-852.2715703539546
2017/11/24,-869.2976620996405
2017/11/30,-886.4029785422591
2017/12/6,-903.5609262006714
2017/12/12,-920.7673853786778
2017/12/24,-938.0294387487002
2017/12/30,-955.3378015454646
2018/1/5,-972.7038786964788
2018/1/11,-990.125347570807
2018/1/17,-1007.5865161882252
2018/1/23,-1025.0872193441287
2018/1/29,-1042.6336154315045
2018/2/4,-1060.2217319850215
2018/2/10,-1077.8458650060925
2018/2/16,-1095.5048830254357
2018/2/22,-1113.1868110828211
2018/2/28,-1130.8879872152063
2018/3/6,-1148.6111753509117
2018/3/12,-1166.351157603467
2018/3/18,-1184.0461620849435
2018/3/24,-1201.6874620723952
2018/3/30,-1219.2976845112669
2018/4/5,-1236.8565997073192
2018/4/11,-1254.395843693495
2018/4/17,-1271.9130859073568
2018/4/23,-1289.37202116951
2018/4/29,-1306.7755341250456
2018/5/5,-1324.1604191008737
2018/5/11,-1341.5218092433054
2018/5/17,-1358.8402628983042
2018/5/23,-1376.1214653459328
2018/5/29,-1393.3283727982057
2018/6/4,-1410.4547329486206
2018/6/10,-1427.520703040955
2018/6/16,-1444.5146540129638
2018/6/22,-1462.3290061961698
2018/6/28,-1481.054356549619
2018/7/4,-1500.261989556466
2018/7/10,-1520.209446402195
2018/7/16,-1540.3852740301406
2018/7/22,-1560.7675238772329
2018/7/28,-1581.8456187177248
2018/8/3,-1603.52568149579
2018/8/9,-1625.1522272028524
2018/8/15,-1646.740633294757
2018/8/21,-1668.554856418776
2018/8/27,-1690.4425000683116
2018/9/2,-1712.932864970982
2018/9/8,-1736.0683254342332
2018/9/14,-1759.4676660751622
2018/9/20,-1783.2573985119586
2018/9/26,-1806.8804298688367
2018/10/2,-1830.2465000496647
2018/10/8,-1853.714630366547
2018/10/14,-1877.119720939884
2018/10/20,-1900.702748762802
2018/10/26,-1924.490994082784
2018/11/1,-1948.2171285835173
2018/11/7,-1971.92925076088
2018/11/13,-1996.181578662319
2018/11/19,-2020.9847972944824
2018/11/25,-2046.1022673369196
2018/12/1,-2071.673526347868
2018/12/7,-2097.3055153317982
2018/12/13,-2122.971417480492
2018/12/19,-2148.98281309988
2018/12/25,-2175.252552254539
2018/12/31,-2201.2406020980898
2019/1/6,-2226.9279098240445
2019/1/12,-2252.506260228565
2019/1/18,-2277.828912297065
2019/1/24,-2303.281359706061
2019/1/30,-2328.8725550112854
2019/2/5,-2354.278379717408
2019/2/11,-2379.5720494002403
2019/2/17,-2405.027681795917
2019/2/23,-2430.624669777258
2019/3/1,-2456.274532047092
2019/3/7,-2482.036730657004
2019/3/13,-2507.654078514838
2019/3/19,-2533.1082283740707
2019/3/25,-2558.5709111394985
2019/3/31,-2583.979873017008
2019/4/6,-2609.09097227618
2019/4/12,-2633.8909406304574
2019/4/24,-2658.443595412058
2019/4/30,-2682.676535175513
2019/5/6,-2706.7623542245656
2019/5/12,-2730.694830459918
2019/5/18,-2754.317226195293
2019/5/24,-2777.6549823838063
2019/5/30,-2800.815861473436
2019/6/5,-2823.781177386917
2019/6/11,-2846.506398981805
2019/6/17,-2869.007708340057
2019/6/23,-2891.1632428211947
2019/6/29,-2912.9563270662434
2019/7/5,-2934.4526256754507
2019/7/11,-2955.6159203117986
2019/7/17,-2977.662095640864
2019/7/23,-3000.713315278313
2019/7/29,-3024.166082506975
2019/8/4,-3048.367628322351
2019/8/10,-3072.6226201613576
2019/8/16,-3096.8937203182973
2019/8/22,-3121.839914766
2019/8/28,-3147.32850715074
2019/9/3,-3172.4439890587228
2019/9/9,-3197.1997279219227
2019/9/15,-3221.957887796976
2019/9/21,-3246.500250952137
2019/9/27,-3271.550237141207
2019/10/3,-3297.160139455288
2019/10/9,-3322.796378676967
2019/10/15,-3348.62690870564
2019/10/21,-3374.51018105107
2019/10/27,-3400.3800264544643
2019/11/2,-3426.428951274645
2019/11/8,-3452.607020184718
2019/11/14,-3478.877414743417
2019/11/20,-3505.258864975493
2019/11/26,-3531.7263105824045
